day,hour,longitude,latitude,traffic
0,0,0,0,0
0,0,0,1,1
0,0,0,2,1
0,0,0,3,1
0,0,0,4,1
0,0,0,5,0
0,0,1,0,0
0,0,1,1,0
0,0,1,2,1
0,0,1,3,0
0,0,1,4,1
0,0,1,5,0
0,0,2,0,0
0,0,2,1,0
0,0,2,2,0
0,0,2,3,0
0,0,2,4,0
0,0,2,5,0
0,0,3,0,1
0,0,3,1,1
0,0,3,2,1
0,0,3,3,1
0,0,3,4,0
0,0,3,5,0
0,0,4,0,1
0,0,4,1,1
0,0,4,2,1
0,0,4,3,1
0,0,4,4,0
0,0,4,5,0
0,0,5,0,0
0,0,5,1,0
0,0,5,2,0
0,0,5,3,0
0,0,5,4,0
0,0,5,5,0
0,0,6,0,0
0,0,6,1,0
0,0,6,2,0
0,0,6,3,0
0,0,6,4,0
0,0,6,5,0
0,0,7,0,0
0,0,7,1,0
0,0,7,2,0
0,0,7,3,0
0,0,7,4,0
0,0,7,5,0
0,0,8,0,0
0,0,8,1,0
0,0,8,2,0
0,0,8,3,0
0,0,8,4,0
0,0,8,5,0
0,0,9,0,0
0,0,9,1,1
0,0,9,2,1
0,0,9,3,1
0,0,9,4,0
0,0,9,5,0
0,0,10,0,0
0,0,10,1,0
0,0,10,2,0
0,0,10,3,0
0,0,10,4,0
0,0,10,5,0
0,0,11,0,0
0,0,11,1,0
0,0,11,2,0
0,0,11,3,0
0,0,11,4,0
0,0,11,5,0
0,0,12,0,0
0,0,12,1,0
0,0,12,2,0
0,0,12,3,0
0,0,12,4,1
0,0,12,5,0
0,0,13,0,0
0,0,13,1,0
0,0,13,2,1
0,0,13,3,1
0,0,13,4,1
0,0,13,5,0
0,0,14,0,0
0,0,14,1,0
0,0,14,2,0
0,0,14,3,0
0,0,14,4,0
0,0,14,5,0
0,0,15,0,0
0,0,15,1,0
0,0,15,2,1
0,0,15,3,0
0,0,15,4,0
0,0,15,5,0
0,0,16,0,0
0,0,16,1,0
0,0,16,2,1
0,0,16,3,0
0,0,16,4,0
0,0,16,5,0
0,0,17,0,0
0,0,17,1,0
0,0,17,2,0
0,0,17,3,0
0,0,17,4,0
0,0,17,5,0
0,4,0,0,0
0,4,0,1,1
0,4,0,2,1
0,4,0,3,1
0,4,0,4,1
0,4,0,5,0
0,4,1,0,0
0,4,1,1,0
0,4,1,2,1
0,4,1,3,0
0,4,1,4,1
0,4,1,5,0
0,4,2,0,0
0,4,2,1,0
0,4,2,2,0
0,4,2,3,0
0,4,2,4,0
0,4,2,5,0
0,4,3,0,1
0,4,3,1,1
0,4,3,2,1
0,4,3,3,1
0,4,3,4,0
0,4,3,5,0
0,4,4,0,1
0,4,4,1,1
0,4,4,2,1
0,4,4,3,1
0,4,4,4,0
0,4,4,5,0
0,4,5,0,0
0,4,5,1,0
0,4,5,2,0
0,4,5,3,0
0,4,5,4,0
0,4,5,5,0
0,4,6,0,0
0,4,6,1,0
0,4,6,2,0
0,4,6,3,0
0,4,6,4,0
0,4,6,5,0
0,4,7,0,0
0,4,7,1,0
0,4,7,2,0
0,4,7,3,0
0,4,7,4,0
0,4,7,5,0
0,4,8,0,0
0,4,8,1,0
0,4,8,2,0
0,4,8,3,0
0,4,8,4,0
0,4,8,5,0
0,4,9,0,0
0,4,9,1,1
0,4,9,2,1
0,4,9,3,1
0,4,9,4,0
0,4,9,5,0
0,4,10,0,0
0,4,10,1,0
0,4,10,2,0
0,4,10,3,0
0,4,10,4,0
0,4,10,5,0
0,4,11,0,0
0,4,11,1,0
0,4,11,2,0
0,4,11,3,0
0,4,11,4,0
0,4,11,5,0
0,4,12,0,0
0,4,12,1,0
0,4,12,2,0
0,4,12,3,0
0,4,12,4,1
0,4,12,5,0
0,4,13,0,0
0,4,13,1,0
0,4,13,2,1
0,4,13,3,1
0,4,13,4,1
0,4,13,5,0
0,4,14,0,0
0,4,14,1,0
0,4,14,2,0
0,4,14,3,0
0,4,14,4,0
0,4,14,5,0
0,4,15,0,0
0,4,15,1,0
0,4,15,2,1
0,4,15,3,0
0,4,15,4,0
0,4,15,5,0
0,4,16,0,0
0,4,16,1,0
0,4,16,2,1
0,4,16,3,0
0,4,16,4,0
0,4,16,5,0
0,4,17,0,0
0,4,17,1,0
0,4,17,2,0
0,4,17,3,0
0,4,17,4,0
0,4,17,5,0
0,8,0,0,0
0,8,0,1,1
0,8,0,2,1
0,8,0,3,1
0,8,0,4,1
0,8,0,5,0
0,8,1,0,0
0,8,1,1,0
0,8,1,2,1
0,8,1,3,0
0,8,1,4,1
0,8,1,5,0
0,8,2,0,0
0,8,2,1,0
0,8,2,2,0
0,8,2,3,0
0,8,2,4,0
0,8,2,5,0
0,8,3,0,1
0,8,3,1,1
0,8,3,2,1
0,8,3,3,1
0,8,3,4,0
0,8,3,5,0
0,8,4,0,1
0,8,4,1,1
0,8,4,2,1
0,8,4,3,1
0,8,4,4,0
0,8,4,5,0
0,8,5,0,0
0,8,5,1,0
0,8,5,2,0
0,8,5,3,0
0,8,5,4,0
0,8,5,5,0
0,8,6,0,0
0,8,6,1,0
0,8,6,2,0
0,8,6,3,0
0,8,6,4,0
0,8,6,5,0
0,8,7,0,0
0,8,7,1,0
0,8,7,2,0
0,8,7,3,0
0,8,7,4,0
0,8,7,5,0
0,8,8,0,0
0,8,8,1,0
0,8,8,2,0
0,8,8,3,0
0,8,8,4,0
0,8,8,5,0
0,8,9,0,0
0,8,9,1,1
0,8,9,2,1
0,8,9,3,1
0,8,9,4,0
0,8,9,5,0
0,8,10,0,0
0,8,10,1,0
0,8,10,2,0
0,8,10,3,0
0,8,10,4,0
0,8,10,5,0
0,8,11,0,0
0,8,11,1,0
0,8,11,2,0
0,8,11,3,0
0,8,11,4,0
0,8,11,5,0
0,8,12,0,0
0,8,12,1,0
0,8,12,2,0
0,8,12,3,0
0,8,12,4,1
0,8,12,5,0
0,8,13,0,0
0,8,13,1,0
0,8,13,2,1
0,8,13,3,1
0,8,13,4,1
0,8,13,5,0
0,8,14,0,0
0,8,14,1,0
0,8,14,2,0
0,8,14,3,0
0,8,14,4,0
0,8,14,5,0
0,8,15,0,0
0,8,15,1,0
0,8,15,2,1
0,8,15,3,0
0,8,15,4,0
0,8,15,5,0
0,8,16,0,0
0,8,16,1,0
0,8,16,2,1
0,8,16,3,0
0,8,16,4,0
0,8,16,5,0
0,8,17,0,0
0,8,17,1,0
0,8,17,2,0
0,8,17,3,0
0,8,17,4,0
0,8,17,5,0
0,12,0,0,0
0,12,0,1,1
0,12,0,2,1
0,12,0,3,1
0,12,0,4,1
0,12,0,5,0
0,12,1,0,0
0,12,1,1,0
0,12,1,2,1
0,12,1,3,0
0,12,1,4,1
0,12,1,5,0
